"","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp"
"347",28.8,49,26.8,49,53.9,7.8,6.2,14,55.7,9.2,9.2,12.6,105,0.323,0.248,0.525,0.475,0.249,103.9,0.256,0.206,0.516,0.479,0.189
"348",28.8,47.6,21.8,47.6,49.6,8.1,5.9,11.8,54.1,7.4,7.8,13.3,105.5,0.289,0.297,0.511,0.482,0.188,103.4,0.25,0.24,0.532,0.495,0.191
"349",26.5,50.8,27.9,50.8,49.1,8.9,7.5,13.2,53.2,7.2,7.3,13.7,109.3,0.277,0.303,0.548,0.512,0.207,106.1,0.301,0.225,0.532,0.488,0.23
"350",22.9,48.9,21.4,48.9,48.9,7.2,8.8,12.6,51.5,8,8.7,12.1,107.3,0.245,0.297,0.543,0.505,0.194,106.3,0.26,0.301,0.54,0.504,0.195
"351",29,49.5,26,49.5,54.6,7.8,6.4,14.1,61.5,9.7,8.4,13.7,101.3,0.282,0.161,0.503,0.457,0.216,108.2,0.301,0.211,0.553,0.51,0.233
"352",24.5,48.5,21.9,48.5,51,9,9,12.1,61.3,7.3,9.7,13.3,108.5,0.313,0.284,0.544,0.494,0.249,104.5,0.251,0.291,0.534,0.494,0.197
"353",23.5,52.4,26.7,52.4,52.3,7.9,7.2,12.3,59.3,7.8,9,11.8,100.7,0.278,0.291,0.501,0.456,0.213,110.6,0.275,0.285,0.548,0.512,0.205
"354",27.3,51.8,30.2,51.8,50.6,8.6,10.9,13.5,59.6,8.4,7.1,13.3,101.1,0.267,0.19,0.503,0.466,0.193,109.8,0.306,0.235,0.545,0.503,0.231
"355",26.5,48.9,22.7,48.9,46.8,8.5,7.3,13.4,55.6,7.9,8.7,13.5,105.9,0.286,0.266,0.536,0.492,0.221,111.8,0.327,0.304,0.573,0.528,0.254
"356",27.3,48.6,27.9,48.6,49.3,8.1,11.7,15.3,56.8,8.9,8,12.5,109.9,0.349,0.26,0.569,0.517,0.278,103.4,0.264,0.214,0.506,0.461,0.207
"357",26.6,49.2,24.3,49.2,50.9,8.8,8.8,13.3,53.1,8.4,8.7,13.5,106.5,0.294,0.291,0.534,0.492,0.222,106.8,0.298,0.275,0.545,0.501,0.23
"358",28.5,49.4,27.4,49.4,51.8,9.1,8.7,12.8,56.1,7.4,9.3,14.3,105.1,0.321,0.192,0.517,0.466,0.248,101.9,0.307,0.235,0.514,0.471,0.223
"359",25.8,49.9,23.8,49.9,53.4,7.7,8.7,12.3,59.3,6.9,8.1,14,101.4,0.314,0.195,0.503,0.456,0.232,103.4,0.317,0.216,0.53,0.482,0.245
"360",29.2,51.2,29.5,51.2,49.9,8.6,6.9,12.9,58.4,8.9,9.9,13.4,102.4,0.275,0.24,0.5,0.457,0.206,110.1,0.256,0.221,0.547,0.513,0.192
